id,created_at,category,operational_status,closed_reason,leg_id,pickup_date,pickup_time,pickup,dropoff,minutes_booked_to_onlocation,description
11,2026-08-01 08:18:35,driver_conflict,needs_attention,leg_completed,28455,2026-08-01,08:00,"Disney's Riviera Resort, Esplanade Avenue, Lake Buena Vista, Florida, EE. UU.","Aeropuerto Internacional de Orlando (MCO), Jeff Fuqua Boulevard, Orlando, Florida, EE. UU.",-24.5,"If George does not pick up these clients early or on time, he will be late for the 8:14 AM Van arrival. Please keep an eye on this."
12,2026-08-01 15:55:34,tight_schedule,backup_arranged,leg_completed,24941,2026-08-01,13:45,Disney's All-Star Movies Resort,Orlando International Airport (MCO),,"Seline still on her way to the Port as of 11:55am, may not make it on time."
13,2026-08-02 19:23:58,other,needs_attention,leg_completed,28794,2026-08-02,18:38,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Art of Animation Resort, Animation Way, Bay Lake, FL, USA",-17.0,"Steven called, his 637p (Tanya Bowley) flight keeps getting delayed. If it delays any more, he asked if we can pull it as he is starting early tomorrow"
14,2026-08-02 19:25:44,other,needs_attention,leg_completed,28548,2026-08-02,17:30,"Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-23.7,"Steven's arrival flight before this is international and are not global entry - He will phone in if he is concerned about being late for this trip ... Back up Plan of Action, George"
15,2026-08-03 13:47:38,driver_conflict,needs_attention,admin_removed,27659,2026-08-03,11:30,"JW Marriott Orlando, Grande Lakes",Port Canaveral - Disney Wish,-4.7,If runer does not pick up by 10:45 give his 11:30 to David and give Davids 11:45 to Runer
16,2026-08-03 13:48:03,tight_schedule,needs_attention,leg_completed,27858,2026-08-03,10:13,Orlando International Airport (MCO),Disney's Port Orleans Resort - Riverside,-28.9,If runer does not pick up by 10:45 give his 11:30 to David and give Davids 11:45 to Runer
17,2026-08-03 21:53:58,driver_conflict,needs_attention,leg_completed,22811,2026-08-03,19:30,Disney's All-Star Music Resort,Orlando International Airport (MCO),-12.2,"The previous arrival has a publix stop and if it runs behind, steven will be late for this job. Keep an eye on it and if he has not left publix by 6:50 PM he will likely be late for this departure and it will need to be covered."
18,2026-08-04 13:45:36,tight_schedule,being_monitored,leg_completed,31928,2026-08-04,13:48,Orlando International Airport (MCO),"Sheraton Orlando North Hotel, 600 N Lake Destiny Rd, Maitland, FL 32751",-6.0,Arriving later than expected may conflict with next arrival.
19,2026-08-05 11:55:28,tight_schedule,backup_arranged,leg_completed,31546,2026-08-05,16:00,"Disney's Grand Floridian Resort & Spa, Floridian Way, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-26.6,Possible conflict with arrival before this.
20,2026-08-05 11:57:10,tight_schedule,being_monitored,leg_completed,26238,2026-08-05,13:38,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Animal Kingdom Lodge, Osceola Parkway, Lake Buena Vista, FL, USA",32.2,May conflict with arrival before it.
21,2026-08-05 16:14:15,other,needs_attention,admin_removed,28903,2026-08-05,22:17,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","DoubleTree Suites by Hilton Orlando - Disney Springs Area, Hotel Plaza Boulevard, Lake Buena Vista, FL, USA",,Test
22,2026-08-07 11:44:51,tight_schedule,being_monitored,leg_completed,30852,2026-08-07,11:00,"Disney's BoardWalk Villas, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA","Universal's Cabana Bay Beach Resort, Adventure Way, Orlando, FL, USA",-10.4,May be late considering arrival before it.
23,2026-08-07 15:36:13,driver_conflict,backup_arranged,leg_completed,30497,2026-08-07,15:30,"Disney's Grand Floridian Resort & Spa, Floridian Way, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",20.7,"The arrival time is inconsistent, so it might conflict with the 3:30. If the flight's late, we can swap the 3:30 with Francisco's 4:15 return."
24,2026-08-07 21:21:24,driver_conflict,being_monitored,leg_completed,32191,2026-08-07,00:36,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Saratoga Springs Resort & Spa, Broadway, Lake Buena Vista, FL, USA",1566.8,May conflict with 11:30 Hotel Transfer
25,2026-08-07 21:47:02,passenger_readiness,being_monitored,leg_completed,29753,2026-08-07,17:28,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Caribbean Beach Resort, Cayman Way, Lake Buena Vista, FL, USA",-9.1,Guest not responding to driver or office. sent multiple messages waiting on response
26,2026-08-08 01:45:03,driver_conflict,needs_attention,leg_completed,31338,2026-08-08,10:45,"Disney's All-Star Sports Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-29.8,If george's flight from sanford does not come on-time & early this will be risky
27,2026-08-09 13:11:29,other,needs_attention,leg_completed,33191,2026-08-09,18:30,Orlando International Airport (MCO),SpringHill Suites by Marriott Cape Canaveral Cocoa Beach,-18.0,Shelly voice confirmed the 622p arrival to Cape - Will let us know if he runs into any traffic snags coming back from Tampa - Placing a KEOI for now
28,2026-08-09 19:05:28,driver_conflict,backup_arranged,admin_removed,31254,2026-08-09,17:00,Disney's BoardWalk Inn,Orlando International Airport (MCO),-9.2,"George's current arrival is coming in at the time of a storm. Currently, he should be good for this 5:00 PM Departure. In the case the luggage gets delayed from the arrival he is on, swap this departure with Yovanny's 5:30 PM departure to make sure to get both covered."
29,2026-08-10 05:43:54,driver_conflict,needs_attention,leg_completed,25215,2026-08-10,12:15,"Disney's Beach Club Resort, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-15.5,"If the flight delays even a little he might not make it, possible solution change it with the 12:30 yovanny has. but the arrival is in the same hotel."
30,2026-08-10 12:51:16,driver_conflict,being_monitored,leg_completed,33302,2026-08-10,13:53,Orlando International Airport (MCO),Disney's Dolphin Resort,24.7,"Tacking both his flights to see if they fix themselves withthin the next hour or 2. Will continue looking for coverage but as of right now, no inhouse solutions"
31,2026-08-11 05:37:38,tight_schedule,needs_attention,leg_completed,27883,2026-08-11,09:52,Orlando International Airport (MCO),Disney's Beach Club Resort,,This is a jetblue she should be able to make it in time. but if it arrives earlier than that it will be a problem. solution send her departure to aftab or junaid.
32,2026-08-11 05:39:27,tight_schedule,needs_attention,leg_completed,31509,2026-08-11,12:27,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Art of Animation Resort, Animation Way, Bay Lake, FL, USA",13.3,Possible conflic. If needed swap his with aftab's
33,2026-08-11 14:19:31,flight_delay,backup_arranged,leg_completed,33355,2026-08-11,20:44,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Animal Kingdom Lodge, Osceola Parkway, Lake Buena Vista, FL, USA",10.0,If flight delays further Sereen would not want to keep it. Raymond is a possible swap
34,2026-08-11 14:29:36,tight_schedule,being_monitored,leg_completed,24658,2026-08-11,14:33,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's All-Star Sports Resort, West Buena Vista Drive, Lake Buena Vista, FL, USA",35.4,"If flight comes in sooner, Possible swap with Sereen's 2:45 arrival"
35,2026-08-11 16:57:56,other,being_monitored,leg_completed,26604,2026-08-11,19:04,Orlando International Airport (MCO),Disney's All-Star Movies Resort,70.4,International Flight
36,2026-08-11 20:18:42,flight_delay,being_monitored,leg_completed,28073,2026-08-11,18:08,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA",7.3,Charlie does not want to wait too long for this flight. If it continues to delay he would like for us to find coverage.
37,2026-08-13 06:19:33,tight_schedule,needs_attention,leg_completed,27041,2026-08-13,08:54,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Walt Disney World Dolphin Resort, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA",15.3,"This is tight, but yovanny can do it, it is a jetblue. i dont see a solution for it right now."
38,2026-08-13 06:20:36,tight_schedule,needs_attention,leg_completed,20700,2026-08-13,09:30,"Hyatt Regency Orlando International Airport, Jeff Fuqua Boulevard, Orlando, FL, USA","Royal Caribbean Port Canaveral, Discovery Road, Port Canaveral, Cape Canaveral, FL, USA",8.0,"This might be a tight fit, but george is a fast driver, if anything let the client know he will be 5 to 10 minutes late, this should not be a problem."
39,2026-08-13 06:21:37,tight_schedule,needs_attention,leg_completed,29502,2026-08-13,10:15,"Disney's BoardWalk Villas, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",,"if the flight delays even a little this can be a problem but the arrival ends at the same hotel as the departure, so only cover it if really needed."
40,2026-08-13 06:23:03,tight_schedule,needs_attention,leg_completed,29727,2026-08-13,09:12,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Bay Lake Tower at Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA",50.0,"This might be a tght fit if it comes in even a little early, but best option is to communicate to the client."
41,2026-08-13 06:24:35,tight_schedule,needs_attention,leg_completed,31510,2026-08-13,09:35,"Disney's Art of Animation Resort, Animation Way, Bay Lake, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-14.7,"This is the most dangerous one of them all in my opnion, but since i did not want to farm out any of the jobs, this was the best case scenario. lets just keep an eye on it, comunicate with all clients and try to keep them 3 inhouse."
42,2026-08-14 03:50:30,tight_schedule,needs_attention,leg_completed,26452,2026-08-14,08:11,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Walt Disney World Swan, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA",-2.5,"This is tight but I think he will make it fine, just keep in contact with the clients for any delays"
43,2026-08-14 03:52:03,tight_schedule,needs_attention,leg_completed,32688,2026-08-14,09:30,Disney's Caribbean Beach Resort,Orlando International Airport (MCO),-6.9,"This is very tight, driver is aware, but i checked the clients flight they have plenty of time to be a little late, if you see he is going to be late, send them a text and give them a 10:00am time, they'll have plenty of time to make it to their 12:30pm flight."
44,2026-08-14 03:52:49,tight_schedule,needs_attention,leg_completed,33040,2026-08-14,11:00,Disney's Animal Kingdom Lodge - Kidani Village,Sanford International Airport,,"This looks tight, but neuma can make it. since the arrival is to universal."
45,2026-08-14 03:54:06,driver_conflict,needs_attention,leg_completed,32492,2026-08-14,18:43,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Walt Disney World Swan, Epcot Resorts Boulevard, Lake Buena Vista, FL, USA",109.2,"This is tight and if delays take the departure and cover it elsewhere, like with michael, or neuma, the arrival is still ok, since it is an international."
46,2026-08-14 03:55:57,tight_schedule,needs_attention,leg_completed,33280,2026-08-14,18:28,Orlando International Airport (MCO),Walt Disney World Swan Reserve,-27.6,"If the other flight delays this can be a problem, but keep in mind this is a jetblue, it takes longer to go trought baggage claim. so if the delay is under 30 minutes, this is doable."
47,2026-08-14 03:57:18,tight_schedule,needs_attention,leg_completed,31938,2026-08-14,14:10,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Loews Sapphire Falls Resort at Universal Orlando, Adventure Way, Orlando, FL, USA",37.4,"This looks like a conflict but it is not, the client has 2 flights coming in, they are in oposite ends of the airport, this giver her plenty of time to arrive to the second flight baggage claim."
48,2026-08-14 03:58:48,tight_schedule,needs_attention,leg_completed,32428,2026-08-14,09:59,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Old Key West Resort, North Cove Road, Lake Buena Vista, FL, USA",23.0,"This is a dangerous one, but doable, they have 5 checked bags, i think she can make it, just keep in contact with the clients and give them etas."
49,2026-08-14 06:02:16,tight_schedule,needs_attention,leg_completed,31471,2026-08-14,19:30,"Disney's Polynesian Village Resort, Seven Seas Drive, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",0.7,"If the flight delays more, he will not be able to do it, for now the only solutions i see are sereen if her international does not delay so much, or neuma (ask first)"
50,2026-08-14 21:49:59,waiting_info,being_monitored,leg_completed,28606,2026-08-14,18:41,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Bay Lake Tower at Disney's Contemporary Resort, World Drive, Bay Lake, FL, USA",-225.8,Diverted flight. Set to arrive now around 6:30PM
51,2026-08-16 03:37:05,other,needs_attention,leg_completed,34108,2026-08-16,18:00,"Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",20.5,"This is not a conflict, the arrival is international, that takes about 2 hours. this is perfect please do not move."
52,2026-08-17 12:57:12,tight_schedule,being_monitored,admin_removed,23243,2026-08-17,18:30,Hilton Orlando Buena Vista Palace,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-5.0,Watching Steven's 4:50 arrival. Should be a smooth quick transfer but if any delays happen it can put him at risk of being late to this job.
53,2026-08-17 16:57:17,tight_schedule,being_monitored,leg_completed,19561,2026-08-17,13:05,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Caribbean Beach Resort, Cayman Way, Lake Buena Vista, FL, USA",38.2,"This is a International Flight, he will be able to make it"
54,2026-08-17 20:25:56,driver_conflict,backup_arranged,leg_completed,30400,2026-08-17,18:15,"Disney's Art of Animation Resort, Animation Way, Lake Buena Vista, FL, USA",Orlando International Airport (MCO),-27.7,"If Roberto is running late, Raymond is an option"
55,2026-08-18 02:30:23,tight_schedule,needs_attention,leg_completed,31276,2026-08-18,12:30,"Disney - Riverside, Riverside Drive, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-56.8,This is NOT a CONFLICT the arrival is international.
56,2026-08-18 02:33:15,tight_schedule,needs_attention,leg_completed,28250,2026-08-18,18:15,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","Disney's Pop Century Resort, Century Drive, Lake Buena Vista, FL, USA",5.5,THIS is NOT a CONFLICT this flight is international.
57,2026-08-18 02:34:19,tight_schedule,needs_attention,leg_completed,31678,2026-08-18,16:30,"Disney's Saratoga Springs Resort & Spa, Broadway, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",,"If arrival comes in early, we can send the departure to junaid."
58,2026-08-18 14:47:15,driver_conflict,backup_arranged,leg_completed,23808,2026-08-19,11:15,"Disney's Wilderness Lodge, Timberline Drive, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",1.6,Guest changed pickup to 11:15AM. Can be sent to Angel if conflicts
59,2026-08-19 04:54:06,tight_schedule,needs_attention,leg_completed,32951,2026-08-19,09:40,Orlando International Airport (MCO),Disney's Pop Century Resort,21.5,"Just keep an eye on it, george is a fast driver and this is a jetblue. since it is MV job, plenty of options to change inhouse."
60,2026-08-20 05:21:49,tight_schedule,needs_attention,leg_completed,35847,2026-08-20,09:00,"1850 Animation Way, Bay Lake, FL 32830","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",,"This is tight, but lets hope she makes it, her arrival might come in early and they only have carry ons. this time everybody will have a trip, so just contact the client and give an eta if needed."
61,2026-08-20 05:22:43,tight_schedule,needs_attention,leg_completed,32156,2026-08-20,09:45,"Four Seasons Resort Orlando at Walt Disney World® Resort, Dream Tree Boulevard, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-2.3,"Let's try to get these people early at least 15 minutes, that will make everything work."
62,2026-08-20 05:24:28,tight_schedule,needs_attention,leg_completed,29854,2026-08-20,11:00,"Bay Lake Tower at Disney's Contemporary Resort, World Drive, Lake Buena Vista, FL, USA","Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA",-2.2,"this is tight, last minute resorce is michael."
63,2026-08-21 10:26:49,tight_schedule,being_monitored,leg_completed,25951,2026-08-21,09:23,"Orlando International Airport (MCO), Jeff Fuqua Boulevard, Orlando, FL, USA","The Cabins at Disney's Fort Wilderness Resort, Fort Wilderness Trail, Lake Buena Vista, FL, USA",,"This job is very tight with Aldo's previous job. Watching the arrival time, may have to contact guest and let them know we'll be running a little late."
